corp_code,corp_name,year,rcept_no,rcept_dt,report_nm,keyword_hits,n_keyword_hits,MaterialCorrection
00139834,LG씨엔에스,2022,20220405002309,20220405,[기재정정]사업보고서 (2021.12),,0,0
00171265,파라다이스,2021,20210419000082,20210419,[기재정정]사업보고서 (2020.12),,0,0
01190568,에이피알,2018,20180528000239,20180528,[기재정정]사업보고서 (2017.12),,0,0
01190568,에이피알,2018,20180417000178,20180417,[기재정정]사업보고서 (2017.12),,0,0
01190568,에이피알,2019,20191114002071,20191114,[기재정정]사업보고서 (2018.12),,0,0
01190568,에이피알,2019,20191114001781,20191114,[기재정정]사업보고서 (2017.12),,0,0
01190568,에이피알,2019,20190528000207,20190528,[기재정정]사업보고서 (2018.12),,0,0
01190568,에이피알,2020,20200924000296,20200924,[기재정정]사업보고서 (2019.12),,0,0
01190568,에이피알,2020,20200924000286,20200924,[기재정정]사업보고서 (2018.12),,0,0
01190568,에이피알,2020,20200924000275,20200924,[기재정정]사업보고서 (2017.12),,0,0
01190568,에이피알,2020,20200814001681,20200814,[기재정정]사업보고서 (2019.12),,0,0
01190568,에이피알,2020,20200814001663,20200814,[기재정정]사업보고서 (2018.12),,0,0
00398701,엘앤에프,2023,20230828000596,20230828,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00398701,엘앤에프,2024,20240328001260,20240328,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00155212,포스코DX,2018,20180622000112,20180622,[기재정정]사업보고서 (2017.12),,0,0
00155212,포스코DX,2022,20220504000292,20220504,[기재정정]사업보고서 (2021.12),,0,0
