corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,is_correction
00139834,LG씨엔에스,064400,Y,사업보고서 (2017.12),20180329001088,LG씨엔에스,20180329,연,2018,2018,0
00139834,LG씨엔에스,064400,Y,사업보고서 (2018.12),20190401004162,LG씨엔에스,20190401,연,2019,2019,0
00139834,LG씨엔에스,064400,Y,사업보고서 (2019.12),20200330003747,LG씨엔에스,20200330,연,2020,2020,0
00139834,LG씨엔에스,064400,Y,사업보고서 (2020.12),20210331001781,LG씨엔에스,20210331,연,2021,2021,0
00139834,LG씨엔에스,064400,Y,[기재정정]사업보고서 (2021.12),20220405002309,LG씨엔에스,20220405,연,2022,2022,1
00139834,LG씨엔에스,064400,Y,사업보고서 (2021.12),20220331002884,LG씨엔에스,20220331,정연,2022,2022,0
00139834,LG씨엔에스,064400,Y,사업보고서 (2022.12),20230331004072,LG씨엔에스,20230331,연,2023,2023,0
00139834,LG씨엔에스,064400,Y,사업보고서 (2023.12),20240401003467,LG씨엔에스,20240401,연,2024,2024,0
00171265,파라다이스,034230,Y,사업보고서 (2017.12),20180330001165,파라다이스,20180330,연,2018,2018,0
00171265,파라다이스,034230,Y,사업보고서 (2018.12),20190329004010,파라다이스,20190329,연,2019,2019,0
00171265,파라다이스,034230,Y,사업보고서 (2019.12),20200330001372,파라다이스,20200330,연,2020,2020,0
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2020.12),20210419000082,파라다이스,20210419,연,2021,2021,1
00171265,파라다이스,034230,Y,사업보고서 (2020.12),20210318001359,파라다이스,20210318,정연,2021,2021,0
00171265,파라다이스,034230,Y,사업보고서 (2021.12),20220317001345,파라다이스,20220317,연,2022,2022,0
00171265,파라다이스,034230,Y,사업보고서 (2022.12),20230316001131,파라다이스,20230316,연,2023,2023,0
00171265,파라다이스,034230,Y,사업보고서 (2023.12),20240314000746,파라다이스,20240314,연,2024,2024,0
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180528000239,에이피알,20180528,정,2018,2018,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180417000178,에이피알,20180417,정,2018,2018,1
01190568,에이피알,278470,Y,사업보고서 (2017.12),20180416000361,에이피알,20180416,정,2018,2018,0
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20191114002071,에이피알,20191114,정,2019,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20191114001781,에이피알,20191114,정,2019,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20190528000207,에이피알,20190528,정,2019,2019,1
01190568,에이피알,278470,Y,사업보고서 (2018.12),20190401003737,에이피알,20190401,정,2019,2019,0
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200924000296,에이피알,20200924,연,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200924000286,에이피알,20200924,,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20200924000275,에이피알,20200924,,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200814001681,에이피알,20200814,정연,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200814001663,에이피알,20200814,정,2020,2020,1
01190568,에이피알,278470,Y,사업보고서 (2019.12),20200513000126,에이피알,20200513,정연,2020,2020,0
01190568,에이피알,278470,Y,사업보고서 (2020.12),20210331000895,에이피알,20210331,연,2021,2021,0
01190568,에이피알,278470,Y,사업보고서 (2021.12),20220331002148,에이피알,20220331,연,2022,2022,0
01190568,에이피알,278470,Y,사업보고서 (2022.12),20230329001036,에이피알,20230329,연,2023,2023,0
01190568,에이피알,278470,Y,사업보고서 (2023.12),20240321000964,에이피알,20240321,연,2024,2024,0
00398701,엘앤에프,066970,Y,사업보고서 (2017.12),20180329001105,엘앤에프,20180329,연,2018,2018,0
00398701,엘앤에프,066970,Y,사업보고서 (2018.12),20190329003209,엘앤에프,20190329,연,2019,2019,0
00398701,엘앤에프,066970,Y,사업보고서 (2019.12),20200326000817,엘앤에프,20200326,연,2020,2020,0
00398701,엘앤에프,066970,Y,사업보고서 (2020.12),20210309000400,엘앤에프,20210309,연,2021,2021,0
00398701,엘앤에프,066970,Y,사업보고서 (2021.12),20220315000434,엘앤에프,20220315,연,2022,2022,0
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2022.12),20230828000596,엘앤에프,20230828,연,2023,2023,1
00398701,엘앤에프,066970,Y,사업보고서 (2022.12),20230314001151,엘앤에프,20230314,정연,2023,2023,0
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2023.12),20240328001260,엘앤에프,20240328,연,2024,2024,1
00398701,엘앤에프,066970,Y,사업보고서 (2023.12),20240312000986,엘앤에프,20240312,정연,2024,2024,0
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2017.12),20180622000112,포스코DX,20180622,연,2018,2018,1
00155212,포스코DX,022100,Y,사업보고서 (2017.12),20180329000873,포스코DX,20180329,정연,2018,2018,0
00155212,포스코DX,022100,Y,사업보고서 (2018.12),20190329003165,포스코DX,20190329,연,2019,2019,0
00155212,포스코DX,022100,Y,사업보고서 (2019.12),20200325000784,포스코DX,20200325,연,2020,2020,0
00155212,포스코DX,022100,Y,사업보고서 (2020.12),20210305000693,포스코DX,20210305,연,2021,2021,0
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2021.12),20220504000292,포스코DX,20220504,연,2022,2022,1
00155212,포스코DX,022100,Y,사업보고서 (2021.12),20220311000948,포스코DX,20220311,정연,2022,2022,0
00155212,포스코DX,022100,Y,사업보고서 (2022.12),20230310000806,포스코DX,20230310,연,2023,2023,0
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240618000197,포스코DX,20240618,연,2024,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240313001522,포스코DX,20240313,정연,2024,2024,1
00155212,포스코DX,022100,Y,사업보고서 (2023.12),20240313000904,포스코DX,20240313,정연,2024,2024,0
00108612,DS단석,017860,Y,사업보고서 (2023.12),20240320000618,DS단석,20240320,연,2024,2024,0
00367710,동인기연,111380,Y,사업보고서 (2023.12),20240321000011,동인기연,20240321,연,2024,2024,0
01311408,에코프로머티,450080,Y,사업보고서 (2022.12),20230321001386,에코프로머티,20230321,,2023,2023,0
01311408,에코프로머티,450080,Y,[기재정정]사업보고서 (2023.12),20240417000528,에코프로머티,20240417,,2024,2024,1
01311408,에코프로머티,450080,Y,사업보고서 (2023.12),20240319000789,에코프로머티,20240319,정,2024,2024,0
01105153,두산로보틱스,454910,Y,사업보고서 (2023.12),20240320001860,두산로보틱스,20240320,연,2024,2024,0
01784394,STX그린로지스,465770,Y,사업보고서 (2023.12),20240321001878,STX그린로지스,20240321,연,2024,2024,0
00220613,넥스틸,092790,Y,사업보고서 (2023.12),20240321001898,넥스틸,20240321,연,2024,2024,0
00158325,NICE평가정보,030190,Y,사업보고서 (2017.12),20180330000091,NICE평가정보,20180330,연,2018,2018,0
00158325,NICE평가정보,030190,Y,사업보고서 (2018.12),20190329002018,NICE평가정보,20190329,연,2019,2019,0
00158325,NICE평가정보,030190,Y,사업보고서 (2019.12),20200330001709,NICE평가정보,20200330,연,2020,2020,0
00158325,NICE평가정보,030190,Y,사업보고서 (2020.12),20210317000949,NICE평가정보,20210317,연,2021,2021,0
00158325,NICE평가정보,030190,Y,사업보고서 (2021.12),20220318000520,NICE평가정보,20220318,연,2022,2022,0
00158325,NICE평가정보,030190,Y,사업보고서 (2022.12),20230317000824,NICE평가정보,20230317,연,2023,2023,0
00158325,NICE평가정보,030190,Y,사업보고서 (2023.12),20240319000797,NICE평가정보,20240319,연,2024,2024,0
01770203,조선내화,462520,Y,[기재정정]사업보고서 (2023.12),20240315000658,조선내화,20240315,연,2024,2024,1
