corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,is_correction
00139834,LG씨엔에스,064400,Y,[기재정정]사업보고서 (2021.12),20220405002309,LG씨엔에스,20220405,연,2022,2022,1
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2020.12),20210419000082,파라다이스,20210419,연,2021,2021,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180528000239,에이피알,20180528,정,2018,2018,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180417000178,에이피알,20180417,정,2018,2018,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20191114002071,에이피알,20191114,정,2019,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20191114001781,에이피알,20191114,정,2019,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20190528000207,에이피알,20190528,정,2019,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200924000296,에이피알,20200924,연,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200924000286,에이피알,20200924,,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20200924000275,에이피알,20200924,,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200814001681,에이피알,20200814,정연,2020,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200814001663,에이피알,20200814,정,2020,2020,1
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2022.12),20230828000596,엘앤에프,20230828,연,2023,2023,1
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2023.12),20240328001260,엘앤에프,20240328,연,2024,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2017.12),20180622000112,포스코DX,20180622,연,2018,2018,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2021.12),20220504000292,포스코DX,20220504,연,2022,2022,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240618000197,포스코DX,20240618,연,2024,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240313001522,포스코DX,20240313,정연,2024,2024,1
